id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23821523,❤️1min TST MTR❤️Standard Double Bed Rm@尖沙咀標準大床房②,175194198,Mark,,Yau Tsim Mong,22.29737,114.17324,Private room,203,1,0,,,3,11
23821920,❤️1min TST MTR❤️Deluxe Double Bed Rm@尖沙咀豪華大床房⑪,175194198,Mark,,Yau Tsim Mong,22.29814,114.17137,Private room,422,1,0,,,3,89
23829653,Bright double room and rooftop in HK island,55611844,Felipe,,Eastern,22.2802,114.22453,Private room,297,2,12,2018-08-20,0.77,2,0
23830914,STUDIO / Work Desk / Kitchen & Luxury Bathroom,8659457,Kay,,Central & Western,22.28561,114.15055,Entire home/apt,6501,2,41,2019-06-18,2.57,8,148
23831583,TERRACE STUDIOS W/D TERRIFIC VIEWS,138649185,Paridhi,,Wan Chai,22.2683,114.18552,Private room,767,180,0,,,83,363
23836774,NEW! 3min to MTR/2 cozy BR MongKok/旺角舒適兩房,24896493,Chris,,Yau Tsim Mong,22.32174,114.16878,Entire home/apt,923,2,75,2019-07-09,4.68,6,71
23838159,家庭三人房間,65326707,Jingwen,,Yau Tsim Mong,22.31719,114.17027,Private room,602,1,1,2018-09-17,0.10,16,120
23842023,"Sunny, modern flat in the best area of Hong Kong",6694897,Ollie,,Central & Western,22.28439,114.14762,Entire home/apt,1197,6,4,2019-07-10,0.34,1,19
23845485,Cosy and bright apartment in the heart of Soho !,13820007,Camille,,Central & Western,22.28158,114.15165,Entire home/apt,798,4,2,2018-04-23,0.13,1,0
23846500,"1 single bed, private room & bath, Tsim Sha Tsui",70747601,Kevin,,Yau Tsim Mong,22.29919,114.1727,Private room,274,1,7,2019-02-27,0.54,11,115
23848994,DOWNTOWN GRAND 4 BR 3 BATH NEWLY RENOVATED APT,106785919,Freda,,Yau Tsim Mong,22.3095,114.1713,Entire home/apt,2903,1,63,2019-07-09,4.01,2,346
23850313,1 bed in 4-bed Mountain View Female Dorm,144228546,The Cove Hostel,,Islands,22.21508,113.98958,Shared room,102,1,0,,,39,155
23850566,1 bed in 6-bed Sea View Female Dorm,144228546,The Cove Hostel,,Islands,22.21417,113.98925,Shared room,102,1,0,,,39,153
23853378,Cozy Studio Apartment in Sheung Wan,179165234,Avis,,Central & Western,22.28474,114.14893,Entire home/apt,790,2,42,2019-06-16,2.73,1,10
23853914,"Welcome Family, group, 2 BRs, near Mong kok MTR",175636723,Jolly,,Yau Tsim Mong,22.31513,114.16876,Entire home/apt,1001,4,56,2019-06-10,3.54,7,62
23855325,"Retro Robin 2BR apt SOHO 1mins to LKF,  Escalator",79003602,J,,Central & Western,22.27993,114.15291,Entire home/apt,1095,1,70,2019-06-30,4.37,21,159
23860798,The Dollhouse- Cozy Central Studio,3632461,Emma,,Central & Western,22.28154,114.15244,Entire home/apt,696,3,37,2019-06-22,2.37,1,138
23861343,Gorgeous studio ideally located.,16798334,Bob,,Islands,22.29521,114.01366,Entire home/apt,751,3,24,2019-07-03,1.53,9,149
23863548,"Spacious & Comfy Studio near Mongkok
(鄰近太子/旺角/奧運站)",160416777,K.K.,,Yau Tsim Mong,22.32433,114.16432,Entire home/apt,1001,1,117,2019-07-07,7.66,5,239
23863797,1 bedroom in the heart of Wanchai,50343251,Paul & Theary,,Wan Chai,22.27639,114.17276,Entire home/apt,696,3,0,,,1,0
23868968,30Sec to Wan Chai MTR 4BR 2WR Apt with Rooftop,15247446,Eva,,Wan Chai,22.27896,114.17357,Entire home/apt,1565,2,71,2019-07-09,4.73,2,63
23869618,Sea View Private Room with Private Bathroom-TF1,144228546,The Cove Hostel,,Islands,22.22693,113.93293,Private room,399,1,14,2019-03-23,0.93,39,343
23870219,Entire Sea View place with 8-rooms&8 bathrooms- TF,144228546,The Cove Hostel,,Islands,22.22869,113.93305,Entire home/apt,3200,1,6,2018-07-26,0.38,39,363
23872198,Sea View Private Room with Private Bathroom-TF2,144228546,The Cove Hostel,,Islands,22.22689,113.93376,Private room,399,1,1,2018-04-28,0.07,39,0
23872321,Sea View Private Room with Private Bathroom-TF3,144228546,The Cove Hostel,,Islands,22.22795,113.93234,Private room,399,1,6,2018-12-12,0.41,39,0
23872452,Sea View Private Room with Private Bathroom - TF4,144228546,The Cove Hostel,,Islands,22.22842,113.9325,Private room,399,1,4,2018-12-28,0.26,39,0
